selecao,ano,qtde-jogos,vitorias,derrotas,empates,saldo-de-gols,classificacao
Croacia,2014,,,,,,,,
Nigeria,2014,,,,,,,,
Brasil,2014,,,,,,,,
Suica,2014,,,,,,,,
CostaRica,2014,,,,,,,,
Alemanha,2014,,,,,,,,
Mexico,2014,,,,,,,,
CoreiaDoSul,2014,,,,,,,,
Belgica,2014,,,,,,,,
Inglaterra,2014,,,,,,,,
Colombia,2014,,,,,,,,
Japao,2014,,,,,,,,
